,text1,text2,aut_id1,aut_id2,same
0,"While investigating a mysterious surge of energy with the shuttle-pod , Archer and Travis are captured by the distrustful and hostile Tandarans and sent to a detention complex in a remote planet . The warden Colonel Grat explains the misunderstandings , explaining that they are in war against the Suliban terrorist organization Cabal , and that the inmates are pacific Sulibans relocated temporarily for their own safety . He claims that he has no authority to release the earthlings and they should be sent to the central magistrate office in Tander Pride as a simple bureaucratic formality . However , Captain Archer discloses that the interns are hold imprisoned due to prejudice against their race and resolves to interfere in the fate of the Sulibans . "" Detained "" is a reasonable episode with a story based on the prejudice of Americans against Japanese people that lived in USA after Pearl Harbor attack . I do not know whether the interference of Captain Archer and his unusual alliance with the Sulibans will have consequences in the future . Title ( Brazil ) : "" Detidos "" ( "" Detained "" )","There are few fence-riders where this movie is concerned . Most fans of the genre of Horror and of the sub-genre of WereWolf movies either love this movie . . . or hate it . Let me begin by saying that I admire this movie very much . I enjoy watching it , and the two subsequent sequels . In my opinion , after the third Howling , they got stupid , hokey , campy , and just plain bad . Also , let me warn you that this movie is dated , slow , and has large blocks of uneventful moments where even the most base character development is not being utilized . But , with that having been said , the story is a good story . It is poorly executed due to the large slow spots I mentioned before , but the story was a sound and well-written one . Everything does not just magically come together . The reporting team there as moral and emotional support for ace reporter , Karen White ( Dee Wallace ) , is working very hard to put it together . Their discoveries do not come easy , but rather as a result of hard work , open-mindedness , and diligence . Not luck . The cinematography is mostly unremarkable , except for the scene in which Bill is attacked . The filmography is beautiful there , with the moonlight streaming out from behind two great trees , and the scene between is clear and lit by a beautifully brilliant silvery moonlight . Very good stuff . I also loved the use of The Wolf Man , 1941 with Lon Chaney , Jr . as a source for information in their research . This is an instance in which a movie used a real movie to quote , rather than some made-up movie . Wes Craven's use of this element was highly praised in the Scream Trilogy , and yet , here it is , twenty years earlier . This production also features a cameo by Forrest J . Ackerman , movie actor with credits in over 20 B-grade horror flicks , and a very good ( if somewhat over the top ) supporting performance by John Carradine . Naturally , most fans of the horror genre want to compare this movie to An American Werewolf in London . That is , of course , like comparing apples to submarines in that the former is a B production , with a small budget and the latter is a much larger funded project at exactly TEN times the budget . The Howling had a 17M return from a 1M investment , while AWiL had a 30 . 5M return from a 10M budget . Let's see . . . 17X the investment / 3 . 5X the investment . I'd have to say "" The Howling "" is the big winner , here , as far as profit goes . I use profit as a measuring stick , because it seems that profit is all Hollywood cares about anymore . Art and artistic expression no longer seems to be the point of film making these days . But for the sake of art , I loved both movies , this one and its competitor . The make up artistry used here was excellent , and actually worthy of the story . That , along with truly professional performances by Dee Wallace and Christopher Stone , make this an enjoyable and memorable film , which I have recently added to my DVD collection . All in all , I consider "" The Howling "" to be a benchmark film in the sub-genre of werewolf movies . It rates a hard-won from . . . the Fiend : .",2488512,2626332,False
1,"An excellent hidden gem from writer / director Luis Estrada that won over 20 awards . The Mayor of San Pedro loses his head while trying to abscond with the town's money , so the party puts in a figurehead ( Damián , - Crónicas , The Crime of Father Amaro ) until the elections . Soon , he figures out the way of politics and is enjoying the benefits - and they are hot benefits ! Soon , he is killing his enemies and extorting money like the rest of them . Of course , he manages to rise through his evil as all politicians do . Alcázar was outstanding in this political satire , as was Salvador Sánchez , Guillermo Gil , and Isela Vega .","Often considered a Christmas film , this is only incidentally set in the season . This five-time Oscar nominated film , with a win for sound , was one of the best pictures of 1947 , the year that brought us Miracle on 34th Street , and the Oscar winning Gentlemen's Agreement . Certainly a great year for films that make us think about what is important . The Bishop , the great David Niven , really doesn't know what he wants . He is trapped in dreams of glory , and has forgotten those around him that need his love and attention . he prays for guidance . Cary Grant , who makes a perfect angel , shows up and helps him understand what the important things in life are and transforms him . He reconnects him to his wife , the beautiful Loretta Young , who won an Oscar the same year for The Farmer's Daughter . The angel , of course , helps many others along the way before he leaves . Like Dr . Lao , he really just opens the eyes of people to look around and see what is really important .",2171244,2171244,True
2,"SPOILERS Coming back home to London after serving his tour in Afghanistan Royal British Paratrooper Dan Bryant , Sean Bean , is shocked to find the girl he left behind his wife , Kate Lewington , making out with another man in the comfort of his own home ! If Dan didn't lose it already in the horrors he faced and participated in Afghanistan he lost it now here in jolly old England ! It's then that Dan starts to get a little crazy in not knowing exactly what to do to suppress his uncontrollable anger . Dan soon decides to clean up the town of crime to make him forget the crime committed on him ; By his old lady in dumping Dan at a time , with him suffering from post traumatic stress , that he needed her most . Dan recruits a number of people who've gotten a raw deal from both the criminals , who victimized them , and courts , who let their victimizers off Scot-free . It's with these people that Dan creates an outfit that goes after both the criminal element of London and the corrupt politicians police and judges who let them off . The anti-crime outfit coined by the London Media as the Outlaws that Dan's in charge of wakes havoc on the crime syndicate running London and it's untouchable , from the law , Godfather Manning , Rob Fry . One of the members of Dan's team is barrister Cedric Munroe , Lennie James , who was prosecuting Manning and had his wife and unborn child murdered by Mannings hoods . Dan also had Munroe's personal chafferer retired London policeman Walter Lewis , Bo Hoskins , join his team of crime fighters . It's Lewis who provided Dan with important information to who's in the pay , and is paying off , those in the justice system to keep Manning from ending up behind bars . Dan at first gets the job done in cleaning up the streets of London of the criminal scum who's been given a free ride by politicians like , he's in fact mentioned a number of times in the film , the then British Prime Minister Tony Blair ! What Blair had exactly to do with the likes of hoodlums like Manning is never quite explained in the movie ? It's later that Dan's dirty half dozen , the number of persons including himself in his hit squad , start to really screw things up ! with Dan himself doing more then his share of screwing ! SPOILER ALERT The movie "" Outlaw "" moves to its inevitable conclusion with what's left of Dan's crime fighters somehow , it's really left up in the air by the films writers and director , being double crossed by one of their own . There's a wild shootout outside of London around Manning's secret hideout with almost everyone of the Outlaws getting plugged by the cops . Yes it was non other then the London Police themselves who came to Mannings rescue ! These so-called law enforcement agents , the police , were so trigger happy and unprofessional that they even shot down one of the Outlaws when he dropped his weapons and willingly surrendered ! A gross and major violation of the Geneava Accords of 1929 ! Something that the Nazis were convicted of doing at the Nuremburg Trials back in 1946 ! But all was not lost with the Outlaws , or one or two of them , coming back to exact justice . The justice that was denied to one of those major criminals whom the corrupt British Justice System wantonly allowed to escape .","' Sing , Babies , Sing ' is one of a series of shorts produced by the Fleischer studio which followed an interesting format : some typical Fleischer black-and-white animation ( cartoon gags with a musical soundtrack ) would book-end a live-action musical performance by some popular vaudeville act of the time . Generally , the title of the short was also the title of the tune sung by the performer . This one has better cartoon gags than most of the series . We're in some sort of baby factory , where the stork prepares the babies for delivery . We see a cartoon version of Eddie Cantor doing his duck-quack routine ( from ' Palmy Days ' ) and a cartoon version of Ed Wynn wearing a fireman's helmet and driving a fire engine : this is a reference to Wynn's popular radio show , sponsored by Texaco , which cast him as ' The Texaco Fire Chief ' . There's also an astonishing gag , featuring a Jewish baby ( with a big nose ) singing ' Shuffle Off to Buffalo ' with new lyrics . The middle sequence is a live-action performance by Baby Rose Marie , a hugely popular child performer from radio and vaudeville of this period . At this point , she was about ten years old , but performed in baby-doll dresses that made her look younger . Her remarkable singing voice resembles the tones of a grown woman ! Nowadays , the considerably older Rose Marie is best known for her adult performance on ' The Dick Van Dyke Show ' . Fans of her adult performances will be fascinated to catch a glimpse of her here , from her child stardom . Apparently there was some sort of legal problem with the live-action sequences in Fleischer's series : on several occasions in recent years , these shorts have resurfaced with the live-action sequences chopped out ; the cartoon builds up to the entrance of a performer who never arrives ! This is a real shame , as the performers in Fleischers series often did very little other film work , so their performances here are of historical value . ' Sing , Babies , Sing ' is one of the few pieces of film footage of Rose Marie from her years as a child star . I'll rate this short .",2721657,1609079,False
3,"In terms of humor or songs , I can't honestly rank this was high as most of the other Muppet films BUT it may be the most touching version of the Dickens classic story I've ever seen on film . The lyrics to the last two songs are fantastic : very Christian-like and very profound . Scrooge ( Michael Caine ) , meanwhile , is not portrayed as some screaming maniac as he so often is in other versions . His transformation from cold-hearted tightwad to caring , generous person is done more subtly , too , than in other films . However , to be fair , sometimes the slapstick humor in here gets in the way of the touching story . The last part of the movie is a lot sentimental drama than Muppet comedy and I found that refreshing . Not much offensive in here , either , making this a good film for little ones as well as older , sentimental folks .","It's nice to see World War II films making a comeback , as they have seemed to do since the arrival of "" Saving Private Ryan "" in 1997 . This is another of them and with modern technology the viewers get to experience some very realistic action scenes . The main thing is that the story is interesting . With a John Woo-directed film , you know are going to get tons of action , almost always too much , and that's the case here . However , some of the scenes are fantastic . You also get some beautiful cinematography . Still on the positive , the acting was good in here with Nicholas Cage in the lead role and a lesser-name-but-good supporting cast . The story , although fairly long at 134 minutes , was never boring . On the negative side , as mentioned , Woo tends to overkill and this movie must have a set record for number of people killed . It also leans on the politically correct side , of course , with Native American spirituality given complete reverence as usual and the Catholic ( Cage ) looking like a very weak in his beliefs . In modern-days , you'll never see the opposite shown on film . Anyway , it's a good action movie that certainly entertains . The intense and long action makes it almost too much to watch in one viewing !",4445210,4445210,True
4,"The movie that made director Alan Parker really famous tells the true - if somewhat exaggerated - story of Billy Hayes ( Brad Davis ) , who got thrown into a hellish Turkish prison after he was caught smuggling hashish . The movie starts off by setting up the historical context . The first thing that you see is Billy and his hubby Susan ( Irene Miracle ) reading about Janis Joplin's death in the paper . But once he gets arrested , then things get ugly . You'll need a strong stomach to watch this movie . That of course means that they did really well with it in every way . Oliver Stone was one of the screenwriters . Also starring Randy Quaid , John Hurt , and Bo Hopkins .","This film has been available on DVD for a couple of years but I've resisted buying it having seen it on TV several years ago and aware that ' message ' movies seldom stand up in later years . Actually I was pleasantly surprised although I do agree with several of the points made by other posters here ; yes , there is a lack of chemistry between Gregory Peck and Dorothy McGuire and yes , he would have done much better to opt for Celeste Holm ( whose Best Supporting Actress Oscar was well deserved ) and yes it was asking a lot to make us believe that Albert Dekker would have been unaware of employment policies in his own organization etc . I have always found Peck a highly watchable and vastly underrated actor who , in common with Jack Lemmon , exudes decency from every pore so that it is hardly coincidence that he has in his screen personas fought racism against Jews and Blacks . John Garfield for once playing a decent person is strangely muted ; Garfield came out of the Group Theatre and embodies the virility and raw passion of that outfit lots of it provided by Clifford Odets and he would have been more effective opposing Peck rather than supporting him . On the other hand the film was made in 1947 and did , for the time , take an unpopular stance . Gadge himself emerged from the Group and had already directed Pinky , another of Fox's moral statements and he was reunited with Garfield as Garfield was reunited with Ann Revere who had played his mother in Body and Soul that same year . In mentioning these names I have perhaps put my finger on one of the problems with this movie ; it is , by any stretch of the imagination , a great cast yet comprises conflicting styles from McGuire's ' soft ' feminine image to Holm's brittle , wisecracking stylist to Garfield's raw virility to Peck's basically decent nice guy . Somehow the whole is greater than the parts and it remains very watchable .",4888011,2567136,False
5,"Freddie managed to sneak a kangaroo into the apartment . Margie wants to get rid of it . She puts it in a usually empty room . Her father Vern is expected to meet and entertain neighbor Roberta's father from Minnesota . He sees kangaroo in empty room and goes crazy unknowingly bumping into the Minnesota father . When Roberta introduces Vern to her father , father threatens to send daughter back home with him ! Having gotten rid of kangaroo , Margie tries to get him back to prove her father's sanity . Vern pays a zoo keeper to keep zoo's kangaroo in apartment for awhile . Charlie the doorman , who Vern also couldn't convince of kangaroo presence in apartment , is now seeing with own eyes and gets a little scared . Roberta's father still hasn't seen one since either one keeps moving when Vern tries to show him ! Finally , zoo keeper comes to get his pay and Charlie is in elevator trying to calm other kangaroo down ! Plot is often silly but is pretty funny in a "" let's-see-how-we-can-top-this "" kind of way . Willie Best as Charlie comes off best even though some of his mannerisms may come off as a little racist today . That's Hillary Brooke from The Abbott and Costello Show as Roberta . Worth seeing if you're interested in wacky ' 50s sitcoms .","Molly Moo-Cow lands on an island that also has Robinson Crusoe on . Crusoe sings how he likes to be alone . He sees footprints that his thinks is some kind of trouble so he chases the tracks before he and Molly bump into each other . Molly licks his face indicating she likes him but Robinson will have none of it and chases her off the island . As Molly gets back on her raft , Crusoe encounters some natives who attempt to boil him . He calls for help so Molly rows back to shore and scares the natives out . Robinson lets her stay then asks , "" But what will I do with you ? "" Molly puts some mud on her face which causes Robinson to say , "" Friday ! "" as we iris out . Other than the singing of Crusoe and the natives , this short is pretty ordinary and that racist ending pretty much mars whatever other enjoyment you may have of this late Van Beuren cartoon short . Only worth seeing for Van Beuren enthusiasts .",11228318,11228318,True
6,"CAPOTE is a great movie . Let that be said at the beginning of this review . The superb screenplay by Dan Futterman based on the book by Gerald Clarke in turn based on that part of the life of Truman Capote when he was obsessed with writing his final and finest novel ' In Cold Blood ' , and the extraordinary directing by Bennett Miller who influenced a fine production crew and coaxed brilliant performances from his cast is all a well established fact . That all of this could be brought together in the featurettes that accompany the film on the DVD release is an example of just how fine additive commentaries can be . This is not only a superb film ; it is also an equally superb DVD package . Philip Seymour Hoffman as the idiosyncratic author Truman Capote probes the psyche of this strange but gifted writer from his first newspaper clipping of the November 15 , 1959 brutal murders of the Clutter family in Holbrook through his immersion in the tiny Kansas town accompanied by his friend and fellow writer Harper Lee ( Catherine Keener ) absorbing the atmosphere where such a deed could happen , ingratiating himself with investigator Alvin Dewey ( Chris Cooper ) and his wife Marie ( Amy Ryan ) to gain access to information that will eventually result in material for his projected book . He becomes obsessed with the murderers Perry Smith ( Clifton Collins , Jr . ) and Richard Hickock ( Mark Pellegrino ) , connecting with Smith in particular on a very basic level and providing the men with lawyers to appeal their conviction for a long enough time to eventually hear the truth of the night of grisly mayhem that fascinates Capote so . The story ends with the execution of Smith and Hickock in 1965 , an occasion that further bewilders the now fragile mind of Capote as he gains the end to his story while simultaneously watching the loved Smith dangle from the scaffold in death . Each actor is exceptional here : Hoffman does indeed deserve his Oscar for a brilliant portrayal . But it is the aftermath that brings even more poignancy to the film . Hearing Bennett , Clarke , and Futterman discuss the origin of the cinematic idea blends naturally with the production crews ' commentary about the choice of Winnipeg , Canada as the location to depict Kansas , the thorough preparation of the design and costuming and color palette and camera techniques , and then the comments by four of the main actors ( Hoffman , Keener , Cooper , and Collins ) illuminate not only the characters they depicted in the film but also the dynamics of entering into this strange world of bleak winter murder . The effect of the featurettes is staggering and makes the viewer want to immediately replay the entire movie . This DVD package should serve as the template for future releases : the disc in its entirety is an art form that has few peers . Highly Recommended . Grady Harp","Dynasty Reunion : Catfights and Caviar  was a fun reunion with some members of the cast : Linda Evans , Joan Collins , Al Corley , Pamela Bellwood , Gordon Thompson , Catherine Oxenberg , Emma Samms , and finally , John Forsythe . "" Dynasty "" was a fun , over the top show , and the cast seemed to really enjoy their reminisces . They also seemed to have a genuine fondness for one another , which was nice to see . A couple of things one wonders about , not the least of which is why ABC didn't air this show since Dynasty was an ABC staple for 11 years . The second thing is , why does Linda Evans look as she does ? One would think these actors could afford the very best surgery , yet Evans and Al Corley , once a beautiful man , looked beyond dreadful . I wouldn't want to see Joan Collins when she wakes up in the morning , but boy , can she still pull it off - and she's a good deal older than 61-year-old Evans . John Forsythe came on only at the end , which someone questioned - the man is 88 years old . God bless him , he seems in good health and in possession of his faculties - two things to be cherished . But I doubt he had the stamina to do an entire taping . It's a pity and not understandable why John James refused to be on the show or have clips of him shown . There was a talk show some years ago on which Linda Evans and a couple of other Dynasty people appeared and James was involved then . Wonder what happened . It was great to see the Moldavia Massacre , all the catfights , Krystle's double , and the clothes . I still remember a blue gown slit up the front that Linda Evans wore . She and a few other ladies in the ' 80s made being in your forties very fashionable . If I sound like I'm dishing her now - well , it's Dynasty , you know , and it brings out the Alexis in all of us .",3223254,342623,False
7,"David Lincoln ( David Warner ) sells his soul to the devil and murders the ancestor of Mark ( Zach Galligan ) at the beginning by putting his head in the fireplace as it was burning wood . Mark , Sarah ( Deborah Foreman ) , China ( Michelle Johnson ) & Tony ( Dana Ashbrook ) decide to got to a Midnight showing of a Waxworks . . this is a "" museum "" whose proprietor is Lincoln who hasn't aged a bit . Each museum exhibit is actually a gateway into another time where the classic monsters of horror await those who enter and are gullible to believe that these creatures can harm them . You have the worst Dracula in the history of cinema in Miles O'Keeffe , horrible werewolf costume representing John Rhys-Davies , J Kenneth Campbell as the Marquis de Sade turned into a cartoon , and the Mummy . Other creatures such as an alien , zombies , and Frankenstein's monster never get their full due because director Hickox can not slow the movie down enough to provide us with any kind of substance to hold a hat on . I swear this film is held together by plywood and string . Poor Patrick Macnee must do with a character called Sir Wilfred who has been planning an attack on Lincoln for sometime . The film is episodic showing what each character faces as they enter ( . . or are thrown into ) each exhibit . There's plenty of gore and the lovely Deborah Foreman is probably enough to give this film a go . Obviously lovers of the classic Universal horrors might find some worth in this drivel , but I have a feeling they will find the make-up work of these creatures as laughable to the point of disrespect . The whole film ends with Wilfred's unit of "" soldiers "" doing battle with the monsters once they are released from their "" cages "" after the museum is provided with enough souls by those who venture into the other world . It's a mess of bodies and violence that can become unbearable .","Jason and his assembled crew of warriors and boatmen , in their ship Argo , guided by the statue of goddess Hera , face perilous danger and creatures of various kinds while seeking the golden fleece , often tested by the almighty Zeus and his gods looking down from the heavens . Escapist fare of the highest order with astounding stop-motion effects by the great Ray Harryhausen . . you could look at his films as a precursor to the special f / x bonanzas of the summer blockbusters of today's age . I was pleased with how well Ray's work holds up to the supposed superiority of today's computer effects . I think the definite highlight would have to be Jason's battle with the multiple dragon-headed snake , hydra . You also have the amazing metal "" guardian soldier "" statue , Talos who rises to strike the argonauts after Hercules removed a large pin from the treasure of the gods . The two winged harpies who were created by Zeus as punishment to a blinded prophet Phineas ( Dr . Who's Patrick Troughton ) are also cool as they flap and torment , caught in a net by Jason and his men as part of a bargain for directions to King Aeetes ' land of Colchia . And , the final effects sequence is quite dazzling as fallen skeletal warriors , victims of hydra who attempted to steal the golden fleece , given birth by Aeetes ' god Hecates , battle Jason and two of his men . Features Nigel Green , of all people , as the unlikeliest Hercules ever , nothing like the muscle-men who often portray the character , but he supplies the strongman with a boisterous attitude , cockiness and unwavering belief in his godlike gifts . Tod Armstrong is quite well suited in the role of trustworthy and charismatic leader of the Argonauts who put their full faith in him as they journey on dangerous adventures . Gary Raymond has the role of treacherous spy Acastus who dares challenge Jason , desiring himself to retrieve the golden fleece on his own terms . Nancy Kovack is the high priestess of the Colchian god Hecates , who falls in love with Jason helping him find the golden fleece , saved herself a couple times from certain death .",9938570,9938570,True
8,"In Strangers On A Train , it's obvious from the start that playboy wastrel Robert Walker has singled out Farley Granger as an unwilling accomplice to a pair of murders . Granger's a semi-public figure , he's a tennis pro , but not an especially high one . High enough however for him to know that Granger is trapped in a loveless marriage and would like to be free to marry Ruth Roman . So when they meet as complete Strangers On A Train one afternoon , Walker knows enough that Granger will at least be intrigued enough with the possibility that if the two of them , complete strangers , did commit homicide on parties that the other would be convenienced by their demise . Though Granger is repulsed by the idea , one of the beautiful things about this film , is that you can see in the performance he gives that Granger just might submit to temptation . In fact when Walker kills Laura Elliot , Granger's wife whose been two timing him and even gotten pregnant by another man , he expects that Granger will in turn murder Walker's father so that Walker can inherit his estate . Today Walker would be called a trust fund baby and a pretty malevolent one at that . Alfred Hitchcock directed Walker to his career role , ironically in his last complete film . Walker died the following year with most of My Son John finished . Hitchcock does not do too bad by Farley Granger either . Of course when Granger does balk at committing homicide on people who never did anything to him , the tension . Strangers On A Train is also characterized by great editing , first in the tennis match in which Granger has to finish the match and waylay Walker before he plants evidence convicting Granger at the crime scene . And also in that final climax with a fight on a runaway carousel between Walker and Granger . Strangers On A Train is Hitchcock at his best , it should not be missed and ought to be required viewing when film classes study editing .","Don't see this if there are no subtitles and your French is sketchy at best to non-existent otherwise you'll drive yourself crazy trying to figure out if it's a fantasy or what . It's 1917 and the war is in full spate . In the North East of the country Sylvie Testud gets a Dear Jean letter and instead of murmuring philosophically , c'est la vie , c'est l'amour she chops off her hair , finds a pair of pants and lights out for the front to ask the guy who done her wrong just what he thinks he's doing . Before long she runs across a raggle-taggle unit led by Pascal Greggory , tags along and winds up with a uniform - they just happened to have a spare in her size as you do - but no gun and becomes part of the group . They march , and march and march some more but strangely enough in the middle of a major war they never run into any actual fighting though they do hear gunfire on one occasion . Even more bizarrely they keep breaking into song , complete with an quintet / sextet of soldier / musicians at a time when one would have thought discretion would dictate silence . Eventually Testud's errant mate shows up , they put in some sack time - in pajamas yet , presumably from the same quartermaster's stores that laid the uniform on Testud - and the group moves on leaving them to it . It's actually a beautifully shot and engrossing film a sort of hybrid of Yentl , Victor Victoria and A Very Long Engagement . Sylvie Testud is clearly brave enough to play a role in which she is seen as androgynous whereas she is actually a very lovely and very feminine actress and she works well with Greggory although virtually all the actors turn in fine performances . Not really multiplex fodder but no worse for that so if there's an Art House near you lobby them to book this .",2483625,2567136,False
9,"Ghosts On The Loose  has one of the more interesting casts in film , with members of the East Side Kids top billed with Bela Lugosi and aspiring newcomer Ava Gardner . However as strong as the lineup looks on paper , the movie itself is a rather hum drum affair , with a few funny gags and one liners thrown in as Leo Gorcey leads the way . Those who tune in due to Lugosi's presence may be disappointed . His on screen time is actually very minimal , and is mostly spent disparaging his band of Nazi agents . A characteristic line - "" Why do I have such idiots around me ? "" Gardner's role is that of Glimpy's ( Huntz Hall ) sister , planning her wedding to Jack Gibson ( Rick Vallin ) . Similar to Lugosi , her role is almost a throw away with not much to do . As a newlywed , she doesn't seem too upset by an interrupted honeymoon , while husband Jack is even less believable chasing down the printing press responsible for Nazi propaganda . The best bits are reserved for the East Siders . Glimpy's wedding tux was borrowed from a mortuary , due back the next day for the funeral of a mobster . Sunshine Sammy Morrison as Scruno is a welcome addition to the gang's antics , while Mugs delivers his share of fractured one liners . One of my favorites - "" Well can you picture that , I must be havin ' optical delusions "" . "" Ghosts On The Loose "" helps reinforce for me that the East Side / Dead End Kids / Bowery Boys did their best work in support of a major star , case in point - "" Angels With Dirty Faces "" . The film is worth a one time viewing though for it's eclectic casting , and it's closing scene with a closeup of Huntz Hall's face displaying a case of German measles , complete with swastika rashes .","This fairly standard Western features cowboy star Tim Holt and perennial sidekick Chito Rafferty ( Richard Martin ) as a pair of ranch hands who spend a lot of time trying to prove a recently released ex-con is trying to go straight . They manage to get him a job on the Bar Circle Ranch owned by Gail Martin ( Joan Dixon ) , who eventually becomes the love interest for Dave Collins ( Ross Elliott ) . The main heavy is Turk Thorne , portrayed by John Dehner , trying to make one big score of a gold shipment on the train that runs through Trail Head , Arizona . Collins used to be mixed up with Thorne's gang , and that's what wound him up in the State Penitentiary . Thorne's plan is to spring him legitimately , and set him up in the telegraph office to intercept the time that a big payday will come through town . Holt's counter plan is to play along with Thorne's scheme , but be there with Sheriff Lacy ( Kenneth MacDonald ) to nail the bad guys and prove Collins is one regular fella . There are a few hitches along the way , but rest assured the good guys prevail , and the romantic duo of Dave and Gail hook up in the end . Richard Martin provides his usual comedic malapropisms as Chito , he has something to say about "" tenderhorns "" and "" greenfoots "" in this one . And as usual , he has a never ending eye for the ladies , but doesn't get to see many this time around . Tim Holt had a nominally successful career with a string of "" B "" Westerns with the coolest sounding titles , like "" Storm Over Wyoming "" , "" Thunder Mountain "" , and "" Under the Tonto Rim "" . However the most memorable film he ever appeared in was a neat little title from 1948 , starring Humphrey Bogart . You may have heard of it - "" The Treasure of the Sierra Madre "" .",2707735,2707735,True
